,año,mes,LAJA_I,ANGOSTURA,ANTUCO,ABANICO,ELTORO,RALCO,PANGUE,MAMPIL,PEUCHEN
0,1960,4,8.5560493430305,79.96764476886099,12.686001777777774,3.0796088888888904,22.694697191904954,76.16621086333333,9.53343420373334,6.658792533333328,9.469941716666659
1,1960,5,8.609029825883722,80.14509191432035,9.598222923557797,2.7079625803141107,19.87674805280404,98.95893436709677,6.368682131870966,7.812135956989243,11.30371484005377
2,1960,6,50.77722518816859,381.94753332914513,81.41693282187062,3.9129419994764914,73.4400121370671,274.0820531166667,37.87625741333333,31.014762805555538,49.12374293055557
3,1960,7,63.796564677650096,283.7477565844365,62.89287036477187,3.770272301709118,54.80658098825977,272.02972462580647,33.943661239677425,42.823736706989244,67.56616235215053
4,1960,8,20.49501466275659,137.9522593393774,40.777308086890244,3.8930600131914765,46.80774868127712,245.8526835677419,24.82517770225807,27.477616236559133,41.54807040322582
5,1960,9,3.2647356321839114,161.48127737377334,40.46307432937108,3.6425873364775185,43.639428593643935,266.3209276733332,25.10952146500001,32.7693570138889,52.07528955555556
6,1960,10,25.9882245837427,278.3288086040331,92.38848800129394,4.4238240881779936,118.71075795348409,570.1820484935485,103.36319405870974,43.10105471774196,71.18334096774196
7,1960,11,16.176807684583057,148.49097367488548,76.85635485361158,5.042913997332841,131.44781673701308,528.5635873800001,75.72296922299999,35.46955245833331,60.156872000000014
8,1960,12,8.423006989831205,114.81866166949355,39.083411180779876,4.036322061491119,74.40484561991819,251.41373231290333,20.546559113548394,25.32303541666667,46.119959516129036
9,1961,1,14.213284021642366,116.95707937550111,22.09591624775322,3.6876359998505617,42.60284688783605,163.0701972096775,10.998361299677413,22.69009520161289,41.159828306451594
10,1961,2,4.96,74.49556784814625,12.669999999999991,3.100000000000001,23.13,101.99999998249997,8.999999999999998,16.39443877976191,29.392607455357158
11,1961,3,5.509570528726856,92.97670726732446,13.348311030678094,3.4149177956588064,25.94073750629207,85.88210050516129,11.374643807322578,14.91060034946236,24.685780900537644
12,1961,4,2.652971388890479,70.79139692850885,10.350221683400857,3.2802662086746635,16.49544611724858,84.39754448516135,10.185208164677418,6.814665934660081,9.790692698404445
13,1961,5,6.64834853926354,100.08176411895654,8.772090550596978,3.0110150631339745,21.665164537688575,141.3011008258065,13.21999097570968,6.838286528225807,9.74782305107527
14,1961,6,34.265162393162385,193.0787444909566,40.81085374988577,3.6982649736609727,53.98729316619408,333.5078723566668,47.00418091999999,23.80063269444444,36.658098388888895
15,1961,7,61.712235024444816,390.3204336159731,112.45202532390465,4.606410419874655,103.87489885415879,616.2722809387096,152.13848220935483,36.10317428763438,58.116840739247266
16,1961,8,58.58518521022415,123.22443356838716,59.64998016016264,4.666812401325493,76.81942476290854,445.975763432258,68.80394382774197,34.734276747311824,54.22382565860219
17,1961,9,53.25511859846162,359.9515780619715,96.69101332843822,4.723134900495633,82.22749070900683,448.7978949466667,62.73484691866666,46.89180643055556,77.4483225972222
18,1961,10,23.59817170911708,408.4185192462629,126.57484979368282,5.429263405553229,129.8533552768736,586.1679717870966,104.63997159516127,46.891806424731165,77.44832259408604
19,1961,11,6.021596958174907,162.96999423004303,99.04900660808946,6.45742502360032,150.8225807742254,495.6236057633333,67.32523507666671,35.633668694444424,59.925878111111146
20,1961,12,0.7399999999999995,106.49264039479326,53.902654184324824,4.766318194357992,96.48872791604259,264.06062711612924,20.698472117419357,27.031891330645173,49.27468778225806
21,1962,1,9.597000447483492,73.14833694917826,23.431297367880166,3.968043584738392,42.11487172839293,144.08739995806445,8.935830543741938,19.702594247311822,35.74221771505378
22,1962,2,4.210000000000003,45.00144639160981,13.360000000000001,4.0,23.080000000000005,95.79999999250005,8.200000000250002,15.90208388392858,28.49390055059526
23,1962,3,2.921634408602151,37.5284530611765,9.734284956065345,3.7899156690452327,18.354961424252608,67.75034599096776,8.803555489838711,11.315704775537638,18.62902018817204
24,1962,4,7.55066542828312,26.62539548483233,7.296812076648694,3.2014677379732492,11.586756254410924,55.185957816451584,6.622647343870965,5.578471186307662,7.868137100156084
25,1962,5,12.606841132576386,33.5714705238867,6.48184189116789,2.190410551171728,20.930380406942586,58.23020607645163,3.8581669816451605,4.988546135752689,6.894748322580651
26,1962,6,21.557781408414318,131.68923998265566,24.430547432845973,2.3649098945936755,39.95419076215978,135.54767825899998,14.182968125533332,22.73183837500001,35.37102197222223
27,1962,7,7.824874462028307,100.03418354192405,23.10621045425766,2.096933533013875,26.360793946622262,120.81696414258064,13.99554401193549,16.361045672043016,24.3679229704301
28,1962,8,19.16267366627524,330.097877011958,66.45788936576751,3.137566374990652,61.73333554912105,331.30010020967745,42.6742847267742,29.766108561827966,46.45198715053764
29,1962,9,17.673947830356596,168.66440254559197,45.63406142966854,2.882569770116289,52.68128277876516,274.76671796999995,25.731487719333334,26.558822541666668,42.32094420833332
30,1962,10,13.48320845796882,153.19104402793536,57.407464199162796,3.2110450172578404,62.792499597851375,250.50912889032256,23.02110249064516,26.79385096774194,43.90201481182795
31,1962,11,13.231108116426672,82.36298401126538,40.56907186147184,2.683402597402598,53.73978302787111,184.27376309333337,12.919136314666668,18.543620013888884,31.075281611111112
32,1962,12,8.000536860091161,49.70903167670568,15.974397946755548,2.182836986513181,22.422744711383434,100.25706100451616,5.954287314129033,17.31058497311828,31.3618456317204
33,1963,1,4.398614661179335,36.480718942108496,10.915997019716874,2.0934788804936475,20.16522395469645,69.09813244419357,5.501043496612905,15.655495793010745,28.330800470430095
